Index,Field,Value
2.1.1,Title,Welcome to Python.org
2.1.2,Link,https://www.python.org/
2.1.3,Details,The official home of the Python Programming Language.
2.2.1,Title,Python Tutorial - W3Schools
2.2.2,Link,https://www.w3schools.com/python/
2.2.3,Details,Python is a popular programming language. Python can be used on a server to create web applications. Start learning Python now » ...
2.3.1,Title,Python (programming language) - Wikipedia
2.3.2,Link,https://en.wikipedia.org/wiki/Python_(programming_language)
2.3.3,Details,"Python is a high-level, interpreted, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant ..."
2.4.1,Title,Learn Python Programming - Programiz
2.4.2,Link,https://www.programiz.com/python-programming
2.4.3,Details,"Python is a powerful general-purpose programming language. It is used in web development, data science, creating software prototypes, and so on."
2.5.1,Title,Python Courses & Tutorials - Codecademy
2.5.2,Link,https://www.codecademy.com/catalog/language/python
2.5.3,Details,"Python is a general-purpose, versatile, and powerful programming language. It's a great first language because it's concise and easy to read."
